"","Subcounty","Ward","Name of SACCO","Type","Reg.status","Reg.number","Number of wards covered","Name of wards covered","Background","Membership","Governance","PlanningCapacity","HumanResource","FinancialPerformance","Automation","TotalScore","Grade"
"1","RUIRU","BIASHARA","Christ Ambassadors Sacco Society Limited","Faith Based SACCO","Registered","CS/11524",1,"BIASHARA",61.1,73.3,60.6,33.3,66.7,66.7,60,61.3,"B"
"2","RUIRU","BIASHARA","P.C.E.A RUIRU SACCO","Other","Registered","CS/10410",20,"BIASHARA GATONG'ORA GITARU GITHUNGURI GITOTHUA GITUAMBA HOSPITAL JUJA KAHAWA SUKARI KAHAWA WENDANI KALIMONI KAMENU KARAI KARURI KIAMWANGI KIGANJO LARI/KIRENGA LIMURU CENTRAL LIMURU EAST MANG'U",66.7,60,72.7,66.7,50,50,66.7,61.2,"B"
"3","RUIRU","BIASHARA","Maisha mabati sacco","Employer Based SACCO","Registered","CS-13693",6,"BIASHARA CHANIA KAHAWA SUKARI KALIMONI Kiambu TOWNSHIP WITEITHIE",55.6,46.7,63.6,33.3,83.3,77.8,46.7,61.1,"B"
"4","RUIRU","BIASHARA","Biashara community savings credit","Community Based SACCO","Registered","Cs/12574",3,"BIASHARA JUJA GATONG'ORA",44.4,66.7,54.5,33.3,83.3,44.4,73.3,57.5,"B"
"5","RUIRU","BIASHARA","Butterfly Saaco","Employer Based SACCO","Registered","OS/6687",1,"BIASHARA",66.7,33.3,63.6,44.4,83.3,61.1,33.3,56.4,"B"
"6","RUIRU","BIASHARA","Coffex Sacco Society Limited","Agri Based SACCO","Registered","CS/13265",6,"BIASHARA GITHUNGURI GITOTHUA GITUAMBA IKINU GITARU",50,46.7,81.8,44.4,0,83.3,46.7,55,"B"
"7","RUIRU","BIASHARA","Thinaruma Sacco Ltd","Community Based SACCO","Registered","CS/4732",3,"BIASHARA Thika TOWNSHIP MURERA",66.7,46.7,69.7,44.4,33.3,72.2,33.3,54.5,"B"
"8","RUIRU","BIASHARA","Kiyo Sacco","Employer Based SACCO","Registered","CS/6682",1,"BIASHARA",66.7,33.3,60.6,33.3,50,55.6,53.3,50.2,"B"
"9","RUIRU","BIASHARA","RUNA TRAVELLERS SACCO","Transport SACCO","Registered","CS/13094",7,"BIASHARA KIAMWANGI Kiambu TOWNSHIP JUJA GITUAMBA GITOTHUA GITHUNGURI",55.6,33.3,78.8,11.1,33.3,44.4,86.7,49.8,"C"
"10","RUIRU","BIASHARA","Mtrr Sacco","Transport SACCO","Registered","CS/15645",1,"BIASHARA",55.6,33.3,63.6,33.3,33.3,66.7,40,48.7,"C"
"11","RUIRU","BIASHARA","Rukine travellers sacco","Transport SACCO","Registered","Cs/13338",1,"BIASHARA",55.6,33.3,54.5,44.4,33.3,44.4,80,47.5,"C"
"12","RUIRU","BIASHARA","Kinotes cooperative and saving society ltd","Community Based SACCO","Registered","CS/4025",7,"KIJABE KIKUYU LARI/KIRENGA KOMOTHAI LIMURU CENTRAL LIMURU EAST THETA",66.7,46.7,59.1,22.2,50,44.4,40,47,"C"
"13","RUIRU","BIASHARA","WUPKENYA SACCO","Employer Based SACCO","Registered","CS/28020",1,"BIASHARA",66.7,46.7,81.8,11.1,50,16.7,46.7,46,"C"
"14","RUIRU","BIASHARA","Rujwasco sacco","Employer Based SACCO","Registered","CS/25644",1,"BIASHARA",66.7,40,53,55.6,33.3,38.9,40,45,"C"
"15","RUIRU","BIASHARA","Ruiru sub-County Sme sacco ltd","Community Based SACCO","Registered","Cs/16470",1,"BIASHARA",88.9,40,33.3,33.3,33.3,77.8,13.3,44,"C"
"16","RUIRU","BIASHARA","Sharma Sacco","Transport SACCO","Registered","CS/23257",1,"BIASHARA",77.8,46.7,60.6,22.2,0,55.6,53.3,43.9,"C"
"17","RUIRU","BIASHARA","Chalbico sacco","Employer Based SACCO","Registered","Cs/27235",1,"BIASHARA",66.7,46.7,78.8,22.2,0,16.7,46.7,39.1,"C"
"18","RUIRU","BIASHARA","Deepwell sacco","Employer Based SACCO","Registered","Cs/23932",1,"BIASHARA",66.7,13.3,54.5,22.2,33.3,38.9,53.3,38.7,"C"
"19","RUIRU","BIASHARA","Ruidem savings and credit sacco","Community Based SACCO","Registered","Cs/20239",1,"BIASHARA",88.9,40,18.2,22.2,50,44.4,46.7,38.3,"C"
"20","RUIRU","BIASHARA","Jacaranda Sacco Society Limited","Community Based SACCO","Proposed",NA,1,"BIASHARA",44.4,13.3,48.5,22.2,33.3,33.3,73.3,37,"C"
"21","RUIRU","BIASHARA","Maisha Group Sacco Ltd","Employer Based SACCO","Registered","CS/29868",1,"BIASHARA",44.4,33.3,59.1,33.3,16.7,0,53.3,32.6,"C"
